District Id,Month Id,Cases Per Month
AP_Anantapur,month1,136
AP_Chittoor,month1,208
AP_East Godavari,month1,59
AP_Guntur,month1,426
AP_Krishna,month1,396
AP_Kurnool,month1,638
AP_Prakasam,month1,67
AP_S.P.S. Nellore,month1,182
AP_Srikakulam,month1,16
AP_Visakhapatnam,month1,81
AP_Vizianagaram,month1,16
AP_West Godavari,month1,75
AP_Y.S.R. Kadapa,month1,107
AR_Lohit,month1,1
AR_Papum Pare,month1,1
BR_Araria,month1,11
BR_Arwal,month1,33
BR_Aurangabad,month1,59
BR_Banka,month1,90
BR_Begusarai,month1,156
BR_Bhagalpur,month1,81
BR_Bhojpur,month1,47
BR_Buxar,month1,114
BR_Darbhanga,month1,53
BR_East Champaran,month1,73
BR_Gaya,month1,48
BR_Gopalganj,month1,95
BR_Jamui,month1,28
BR_Jehanabad,month1,108
BR_Kaimur,month1,49
BR_Katihar,month1,134
BR_Khagaria,month1,122
BR_Kishanganj,month1,14
BR_Lakhisarai,month1,28
BR_Madhepura,month1,42
BR_Madhubani,month1,146
BR_Munger,month1,148
BR_Muzaffarpur,month1,38
BR_Nalanda,month1,87
BR_Nawada,month1,70
BR_Patna,month1,211
BR_Purnia,month1,45
BR_Rohtas,month1,166
BR_Saharsa,month1,42
BR_Samastipur,month1,61
BR_Saran,month1,38
BR_Sheikhpura,month1,45
BR_Sheohar,month1,6
BR_Sitamarhi,month1,39
BR_Siwan,month1,61
BR_Supaul,month1,49
BR_Vaishali,month1,58
BR_West Champaran,month1,42
CH_Chandigarh,month1,266
CT_Balod,month1,18
CT_Baloda Bazar,month1,19
CT_Balrampur,month1,8
CT_Bametara,month1,2
CT_Bastar,month1,0
CT_Bijapur,month1,0
CT_Bilaspur,month1,40
CT_Dakshin Bastar Dantewada,month1,0
CT_Dhamtari,month1,2
CT_Durg,month1,10
CT_Gariaband,month1,5
CT_Janjgir Champa,month1,15
CT_Jashpur,month1,1
CT_Kabeerdham,month1,13
CT_Kondagaon,month1,0
CT_Korba,month1,41
CT_Koriya,month1,8
CT_Mahasamund,month1,0
CT_Mungeli,month1,43
CT_Narayanpur,month1,0
CT_Raigarh,month1,10
CT_Raipur,month1,9
CT_Rajnandgaon,month1,23
CT_Sukma,month1,0
CT_Surajpur,month1,7
CT_Surguja,month1,7
CT_Uttar Bastar Kanker,month1,8
GJ_Ahmedabad,month1,10590
GJ_Amreli,month1,6
GJ_Anand,month1,93
GJ_Aravalli,month1,99
GJ_Banaskantha,month1,99
GJ_Bharuch,month1,37
GJ_Bhavnagar,month1,117
GJ_Botad,month1,57
GJ_Chhota Udaipur,month1,22
GJ_Dahod,month1,36
GJ_Dang,month1,2
GJ_Devbhumi Dwarka,month1,12
GJ_Gandhinagar,month1,225
GJ_Gir Somnath,month1,44
GJ_Jamnagar,month1,47
GJ_Junagadh,month1,26
GJ_Kheda,month1,63
GJ_Kutch,month1,64
GJ_Mahisagar,month1,88
GJ_Mehsana,month1,102
GJ_Morbi,month1,3
GJ_Narmada,month1,18
GJ_Navsari,month1,16
GJ_Panchmahal,month1,77
GJ_Patan,month1,72
GJ_Porbandar,month1,7
GJ_Rajkot,month1,93
GJ_Sabarkantha,month1,89
GJ_Surat,month1,1351
GJ_Surendranagar,month1,25
GJ_Tapi,month1,6
GJ_Vadodara,month1,854
GJ_Valsad,month1,20
HP_Bilaspur,month1,11
HP_Chamba,month1,18
HP_Hamirpur,month1,63
HP_Kangra,month1,59
HP_Kullu,month1,1
HP_Mandi,month1,11
HP_Shimla,month1,6
HP_Sirmaur,month1,4
HP_Solan,month1,20
HP_Una,month1,30
HR_Ambala,month1,42
HR_Bhiwani,month1,8
HR_Charkhi Dadri,month1,7
HR_Faridabad,month1,211
HR_Fatehabad,month1,9
HR_Gurugram,month1,284
HR_Hisar,month1,20
HR_Jhajjar,month1,93
HR_Jind,month1,29
HR_Kaithal,month1,6
HR_Karnal,month1,33
HR_Kurukshetra,month1,18
HR_Mahendragarh,month1,21
HR_Nuh,month1,65
HR_Palwal,month1,41
HR_Panchkula,month1,25
HR_Panipat,month1,54
HR_Rewari,month1,16
HR_Rohtak,month1,16
HR_Sirsa,month1,9
HR_Sonipat,month1,163
HR_Yamunanagar,month1,8
JH_Bokaro,month1,17
JH_Chatra,month1,2
JH_Deoghar,month1,5
JH_Dhanbad,month1,7
JH_Dumka,month1,2
JH_East Singhbhum,month1,25
JH_Garhwa,month1,52
JH_Giridih,month1,16
JH_Godda,month1,1
JH_Gumla,month1,10
JH_Hazaribagh,month1,45
JH_Jamtara,month1,2
JH_Koderma,month1,29
JH_Latehar,month1,4
JH_Lohardaga,month1,2
JH_Palamu,month1,15
JH_Ramgarh,month1,10
JH_Ranchi,month1,125
JH_Saraikela-Kharsawan,month1,4
JH_Simdega,month1,7
JH_West Singhbhum,month1,6
JK_Anantnag,month1,278
JK_Bandipora,month1,140
JK_Baramulla,month1,137
JK_Budgam,month1,64
JK_Doda,month1,2
JK_Ganderbal,month1,27
JK_Jammu,month1,99
JK_Kathua,month1,49
JK_Kishtwar,month1,7
JK_Kulgam,month1,227
JK_Kupwara,month1,166
JK_Pulwama,month1,26
JK_Punch,month1,8
JK_Rajouri,month1,13
JK_Ramban,month1,45
JK_Reasi,month1,6
JK_Samba,month1,27
JK_Shopiyan,month1,129
JK_Srinagar,month1,181
JK_Udhampur,month1,37
KA_Bagalkote,month1,77
KA_Ballari,month1,36
KA_Belagavi,month1,128
KA_Bengaluru Rural,month1,11
KA_Bengaluru Urban,month1,276
KA_Bidar,month1,86
KA_Chikkaballapura,month1,126
KA_Chikkamagaluru,month1,10
KA_Chitradurga,month1,11
KA_Dakshina Kannada,month1,64
KA_Davanagere,month1,123
KA_Dharwad,month1,43
KA_Gadag,month1,35
KA_Hassan,month1,100
KA_Haveri,month1,6
KA_Kalaburagi,month1,158
KA_Kodagu,month1,3
KA_Kolar,month1,16
KA_Koppal,month1,3
KA_Mandya,month1,254
KA_Mysuru,month1,90
KA_Raichur,month1,66
KA_Ramanagara,month1,1
KA_Shivamogga,month1,36
KA_Tumakuru,month1,27
KA_Udupi,month1,108
KA_Uttara Kannada,month1,71
KA_Vijayapura,month1,70
KA_Yadgir,month1,125
KL_Alappuzha,month1,25
KL_Ernakulam,month1,33
KL_Idukki,month1,27
KL_Kannur,month1,186
KL_Kasaragod,month1,229
KL_Kollam,month1,39
KL_Kottayam,month1,33
KL_Kozhikode,month1,50
KL_Malappuram,month1,79
