District Id,Week Id,Cases Per Week
AP_Anantapur,week1,71
AP_Chittoor,week1,80
AP_East Godavari,week1,45
AP_Guntur,week1,308
AP_Krishna,week1,258
AP_Kurnool,week1,436
AP_Prakasam,week1,61
AP_S.P.S. Nellore,week1,90
AP_Srikakulam,week1,5
AP_Visakhapatnam,week1,29
AP_West Godavari,week1,59
AP_Y.S.R. Kadapa,week1,83
AR_Lohit,week1,1
BR_Araria,week1,2
BR_Arwal,week1,4
BR_Aurangabad,week1,8
BR_Banka,week1,3
BR_Begusarai,week1,11
BR_Bhagalpur,week1,5
BR_Bhojpur,week1,18
BR_Buxar,week1,53
BR_Darbhanga,week1,5
BR_East Champaran,week1,5
BR_Gaya,week1,6
BR_Gopalganj,week1,18
BR_Jehanabad,week1,4
BR_Kaimur,week1,27
BR_Katihar,week1,4
BR_Lakhisarai,week1,4
BR_Madhepura,week1,2
BR_Madhubani,week1,18
BR_Munger,week1,95
BR_Nalanda,week1,36
BR_Nawada,week1,4
BR_Patna,week1,44
BR_Purnia,week1,1
BR_Rohtas,week1,52
BR_Saran,week1,7
BR_Sheikhpura,week1,1
BR_Sitamarhi,week1,6
BR_Siwan,week1,30
BR_Vaishali,week1,3
BR_West Champaran,week1,5
CH_Chandigarh,week1,94
CT_Bilaspur,week1,1
CT_Durg,week1,1
CT_Korba,week1,28
CT_Raipur,week1,6
CT_Rajnandgaon,week1,1
CT_Surajpur,week1,6
GJ_Ahmedabad,week1,3543
GJ_Anand,week1,74
GJ_Aravalli,week1,19
GJ_Banaskantha,week1,29
GJ_Bharuch,week1,27
GJ_Bhavnagar,week1,53
GJ_Botad,week1,27
GJ_Chhota Udaipur,week1,14
GJ_Dahod,week1,6
GJ_Dang,week1,2
GJ_Gandhinagar,week1,67
GJ_Gir Somnath,week1,3
GJ_Jamnagar,week1,1
GJ_Kheda,week1,9
GJ_Kutch,week1,7
GJ_Mahisagar,week1,23
GJ_Mehsana,week1,11
GJ_Morbi,week1,1
GJ_Narmada,week1,12
GJ_Navsari,week1,8
GJ_Panchmahal,week1,38
GJ_Patan,week1,21
GJ_Porbandar,week1,3
GJ_Rajkot,week1,58
GJ_Sabarkantha,week1,3
GJ_Surat,week1,661
GJ_Surendranagar,week1,1
GJ_Tapi,week1,2
GJ_Vadodara,week1,325
GJ_Valsad,week1,6
HP_Chamba,week1,6
HP_Hamirpur,week1,2
HP_Kangra,week1,5
HP_Sirmaur,week1,2
HP_Solan,week1,9
HP_Una,week1,16
HR_Ambala,week1,14
HR_Bhiwani,week1,3
HR_Charkhi Dadri,week1,1
HR_Faridabad,week1,61
HR_Fatehabad,week1,1
HR_Gurugram,week1,63
HR_Hisar,week1,4
HR_Jhajjar,week1,40
HR_Jind,week1,2
HR_Kaithal,week1,2
HR_Karnal,week1,6
HR_Kurukshetra,week1,2
HR_Nuh,week1,58
HR_Palwal,week1,34
HR_Panchkula,week1,18
HR_Panipat,week1,13
HR_Rohtak,week1,4
HR_Sirsa,week1,6
HR_Sonipat,week1,26
HR_Yamunanagar,week1,4
JH_Bokaro,week1,10
JH_Deoghar,week1,4
JH_Dhanbad,week1,2
JH_Garhwa,week1,3
JH_Giridih,week1,1
JH_Godda,week1,1
JH_Hazaribagh,week1,3
JH_Jamtara,week1,2
JH_Koderma,week1,1
JH_Palamu,week1,3
JH_Ranchi,week1,83
JH_Simdega,week1,2
JK_Anantnag,week1,99
JK_Bandipora,week1,128
JK_Baramulla,week1,88
JK_Budgam,week1,21
JK_Ganderbal,week1,14
JK_Jammu,week1,26
JK_Kathua,week1,1
JK_Kishtwar,week1,1
JK_Kulgam,week1,11
JK_Kupwara,week1,55
JK_Pulwama,week1,7
JK_Rajouri,week1,4
JK_Ramban,week1,1
JK_Reasi,week1,1
JK_Samba,week1,6
JK_Shopiyan,week1,77
JK_Srinagar,week1,106
JK_Udhampur,week1,20
KA_Bagalkote,week1,30
KA_Ballari,week1,13
KA_Belagavi,week1,71
KA_Bengaluru Rural,week1,6
KA_Bengaluru Urban,week1,145
KA_Bidar,week1,15
KA_Chikkaballapura,week1,20
KA_Chitradurga,week1,1
KA_Dakshina Kannada,week1,18
KA_Davanagere,week1,10
KA_Dharwad,week1,10
KA_Gadag,week1,5
KA_Kalaburagi,week1,55
KA_Kodagu,week1,1
KA_Mandya,week1,26
KA_Mysuru,week1,88
KA_Tumakuru,week1,7
KA_Udupi,week1,3
KA_Uttara Kannada,week1,11
KA_Vijayapura,week1,46
KL_Alappuzha,week1,5
KL_Ernakulam,week1,24
KL_Idukki,week1,24
KL_Kannur,week1,116
KL_Kasaragod,week1,179
KL_Kollam,week1,20
KL_Kottayam,week1,20
KL_Kozhikode,week1,24
KL_Malappuram,week1,24
KL_Palakkad,week1,13
KL_Pathanamthitta,week1,17
KL_Thiruvananthapuram,week1,17
KL_Thrissur,week1,13
KL_Wayanad,week1,4
LA_Kargil,week1,8
LA_Leh,week1,15
MH_Ahmednagar,week1,42
MH_Akola,week1,49
MH_Amravati,week1,31
MH_Aurangabad,week1,220
MH_Beed,week1,1
MH_Bhandara,week1,1
MH_Buldhana,week1,21
MH_Chandrapur,week1,3
MH_Dhule,week1,27
MH_Gondia,week1,1
MH_Hingoli,week1,37
MH_Jalgaon,week1,46
MH_Jalna,week1,8
MH_Kolhapur,week1,16
MH_Latur,week1,12
MH_Mumbai,week1,8359
MH_Nagpur,week1,146
