District_Id,Wave 1 Week Id,Wave 2 Week Id,Wave 1 Month Id,Wave 2 Month Id
AP_Anantapur,week28,week110,month4,month13
AP_Chittoor,week37,week111,month5,month13
AP_East Godavari,week40,week111,month5,month13
AP_Guntur,week27,week109,month4,month13
AP_Krishna,week46,week111,month6,month13
AP_Kurnool,week30,week107,month4,month13
AP_Prakasam,week38,week107,month5,month13
AP_S.P.S. Nellore,week38,week108,month5,month13
AP_Srikakulam,week36,week106,month5,month13
AP_Visakhapatnam,week28,week108,month4,month13
AP_Vizianagaram,week38,week107,month5,month13
AP_West Godavari,week39,week111,month5,month13
AP_Y.S.R. Kadapa,week37,week109,month5,month13
AR_Anjaw,week46,week115,month6,month14
AR_Changlang,week47,week113,month6,month14
AR_East Kameng,week30,week116,month4,month14
AR_East Siang,week50,week125,month6,month15
AR_Kamle,week45,week126,month6,month15
AR_Kra Daadi,week45,week117,month6,month14
AR_Kurung Kumey,week44,week122,month6,month15
AR_Lepa Rada,week48,week129,month6,month15
AR_Lohit,week51,week129,month6,month15
AR_Longding,week43,week126,month5,month15
AR_Lower Dibang Valley,week49,week105,month6,month13
AR_Lower Siang,week45,week133,month6,month13
AR_Lower Subansiri,week40,week133,month6,month14
AR_Namsai,week29,week113,month6,month14
AR_Pakke Kessang,week42,week123,month5,month15
AR_Papum Pare,week43,week129,month6,month15
AR_Shi Yomi,week56,week125,month7,month12
AR_Siang,week36,week128,month6,month15
AR_Tawang,week37,week113,month5,month14
AR_Tirap,week47,week130,month6,month15
AR_Upper Dibang Valley,week47,week114,month6,month14
AR_Upper Siang,week51,week112,month6,month14
AR_Upper Subansiri,week33,week123,month6,month15
AR_West Kameng,week32,week126,month4,month15
AR_West Siang,week47,week130,month6,month15
AS_Dibrugarh,week27,week107,month4,month14
AS_Udalguri,week22,week102,month3,month13
BR_Araria,week31,week108,month5,month13
BR_Arwal,week32,week107,month4,month13
BR_Aurangabad,week32,week104,month4,month13
BR_Banka,week30,week105,month4,month13
BR_Begusarai,week31,week105,month4,month13
BR_Bhagalpur,week30,week104,month4,month13
BR_Bhojpur,week30,week103,month4,month13
BR_Buxar,week30,week104,month4,month13
BR_Darbhanga,week31,week106,month4,month13
BR_East Champaran,week31,week108,month4,month13
BR_Gaya,week31,week105,month4,month13
BR_Gopalganj,week30,week106,month4,month13
BR_Jamui,week27,week107,month4,month13
BR_Jehanabad,week31,week104,month4,month13
BR_Kaimur,week31,week104,month4,month13
BR_Katihar,week30,week108,month4,month13
BR_Khagaria,week28,week106,month4,month13
BR_Kishanganj,week31,week110,month4,month13
BR_Lakhisarai,week32,week105,month4,month13
BR_Madhepura,week31,week106,month4,month13
BR_Madhubani,week32,week107,month4,month13
BR_Munger,week30,week108,month4,month13
BR_Muzaffarpur,week33,week107,month4,month13
BR_Nalanda,week27,week106,month4,month13
BR_Nawada,week27,week105,month4,month13
BR_Patna,week30,week107,month4,month13
BR_Purnia,week32,week105,month4,month13
BR_Rohtas,week30,week105,month4,month13
BR_Saharsa,week31,week106,month4,month13
BR_Samastipur,week30,week108,month4,month13
BR_Saran,week31,week104,month4,month13
BR_Sheikhpura,week30,week107,month4,month13
BR_Sheohar,week31,week107,month4,month13
BR_Sitamarhi,week32,week106,month4,month13
BR_Siwan,week23,week106,month4,month13
BR_Supaul,week41,week105,month5,month13
BR_Vaishali,week30,week107,month4,month13
BR_West Champaran,week31,week106,month4,month13
CH_Chandigarh,week40,week107,month5,month13
CT_Balod,week55,week104,month8,month13
CT_Baloda Bazar,week41,week105,month6,month13
CT_Balrampur,week50,week108,month6,month13
CT_Bametara,week55,week100,month7,month12
CT_Bastar,week80,week104,month6,month13
CT_Bijapur,week47,week116,month6,month14
CT_Bilaspur,week41,week104,month5,month13
CT_Dakshin Bastar Dantewada,week44,week107,month6,month13
CT_Dhamtari,week42,week104,month6,month13
CT_Durg,week42,week100,month5,month12
CT_Gariaband,week80,week102,month6,month13
CT_Janjgir Champa,week48,week107,month6,month13
CT_Jashpur,week50,week107,month6,month13
CT_Kabeerdham,week40,week105,month6,month13
CT_Kondagaon,week49,week107,month6,month13
CT_Korba,week48,week106,month6,month13
CT_Koriya,week45,week108,month6,month13
CT_Mahasamund,week79,week106,month8,month13
CT_Mungeli,week44,week106,month6,month13
CT_Narayanpur,week42,week109,month5,month13
CT_Raigarh,week45,week107,month6,month13
CT_Raipur,week39,week101,month5,month12
CT_Rajnandgaon,week40,week101,month5,month12
CT_Sukma,week44,week115,month6,month14
CT_Surajpur,week50,week108,month6,month13
CT_Surguja,week44,week107,month6,month13
CT_Uttar Bastar Kanker,week47,week104,month6,month13
DN_Daman,week28,week104,month4,month13
DN_Diu,week36,week114,month4,month13
GJ_Ahmedabad,week2,week104,month1,month13
GJ_Amreli,week31,week109,month4,month13
GJ_Anand,week61,week109,month8,month13
GJ_Aravalli,week54,week108,month7,month13
GJ_Banaskantha,week60,week104,month7,month13
GJ_Bharuch,week45,week102,month6,month13
GJ_Bhavnagar,week36,week106,month5,month13
GJ_Botad,week28,week102,month5,month13
GJ_Chhota Udaipur,week36,week107,month5,month13
GJ_Dahod,week27,week105,month4,month13
GJ_Dang,week36,week105,month5,month13
GJ_Devbhumi Dwarka,week36,week109,month5,month13
GJ_Gandhinagar,week60,week105,month8,month13
GJ_Gir Somnath,week31,week108,month4,month13
GJ_Jamnagar,week41,week106,month5,month13
GJ_Junagadh,week23,week109,month5,month13
GJ_Kheda,week63,week106,month8,month13
GJ_Kutch,week43,week104,month5,month13
GJ_Mahisagar,week60,week105,month8,month13
GJ_Mehsana,week63,week107,month8,month13
GJ_Morbi,week32,week106,month5,month13
GJ_Narmada,week51,week106,month6,month13
GJ_Navsari,week26,week106,month3,month13
GJ_Panchmahal,week33,week108,month5,month13
GJ_Patan,week61,week105,month8,month13
GJ_Porbandar,week34,week111,month4,month13
GJ_Rajkot,week45,week102,month5,month13
GJ_Sabarkantha,week51,week110,month8,month13
GJ_Surat,week44,week103,month5,month13
GJ_Surendranagar,week27,week105,month6,month13
GJ_Tapi,week38,week105,month5,month13
GJ_Vadodara,week63,week109,month8,month13
GJ_Valsad,week27,week106,month3,month13
HP_Bilaspur,week63,week109,month8,month13
HP_Chamba,week64,week109,month8,month13
HP_Hamirpur,week61,week108,month8,month13
HP_Kangra,week64,week108,month8,month13
HP_Kinnaur,week64,week111,month8,month13
HP_Kullu,week60,week108,month7,month13
HP_Lahaul and Spiti,week59,week106,month7,month13
HP_Mandi,week57,week108,month8,month13
HP_Shimla,week63,week108,month8,month13
HP_Sirmaur,week41,week109,month5,month13
HP_Solan,week40,week107,month8,month13
HP_Una,week41,week109,month5,month13
HR_Ambala,week40,week107,month5,month13
HR_Bhiwani,week57,week109,month7,month13
HR_Charkhi Dadri,week41,week108,month7,month13
HR_Faridabad,week59,week107,month7,month13
HR_Fatehabad,week40,week108,month5,month13
HR_Gurugram,week60,week106,month7,month13
HR_Hisar,week57,week108,month7,month13
HR_Jhajjar,week39,week110,month7,month13
HR_Jind,week42,week105,month5,month13
HR_Kaithal,week36,week106,month5,month13
HR_Karnal,week39,week105,month5,month13
HR_Kurukshetra,week39,week108,month5,month13
HR_Mahendragarh,week57,week108,month7,month13
