District Id,Time Id,Dose 1,Dose 2
AN_Nicobars,month1,360,0
AN_Nicobars,month2,387,304
AN_Nicobars,month3,5065,231
AN_Nicobars,month4,2547,1370
AN_Nicobars,month5,423,1
AN_Nicobars,month6,8724,4665
AN_Nicobars,month7,4526,1508
AN_North and Middle Andaman,month1,1113,0
AN_North and Middle Andaman,month2,1021,944
AN_North and Middle Andaman,month3,14973,610
AN_North and Middle Andaman,month4,12943,1714
AN_North and Middle Andaman,month5,3591,24
AN_North and Middle Andaman,month6,17273,20461
AN_North and Middle Andaman,month7,15560,5268
AN_South Andaman,month1,1567,0
AN_South Andaman,month2,7297,1596
AN_South Andaman,month3,22995,2394
AN_South Andaman,month4,29790,5967
AN_South Andaman,month5,12560,217
AN_South Andaman,month6,34384,29158
AN_South Andaman,month7,31217,20075
AP_Anantapur,month1,15323,730
AP_Anantapur,month2,42133,13107
AP_Anantapur,month3,242765,19514
AP_Anantapur,month4,145133,138742
AP_Anantapur,month5,255630,30980
AP_Anantapur,month6,331417,101799
AP_Anantapur,month7,324966,289378
AP_Chittoor,month1,30004,340
AP_Chittoor,month2,59197,22487
AP_Chittoor,month3,295693,29397
AP_Chittoor,month4,140860,139397
AP_Chittoor,month5,290636,45432
AP_Chittoor,month6,344063,84497
AP_Chittoor,month7,383766,319223
AP_East Godavari,month1,40366,301
AP_East Godavari,month2,67611,26569
AP_East Godavari,month3,276514,39882
AP_East Godavari,month4,114559,138673
AP_East Godavari,month5,449659,49546
AP_East Godavari,month6,459931,110817
AP_East Godavari,month7,515515,185463
AP_Guntur,month1,22279,1086
AP_Guntur,month2,58509,18703
AP_Guntur,month3,259544,34190
AP_Guntur,month4,159028,118498
AP_Guntur,month5,367233,57938
AP_Guntur,month6,464820,115211
AP_Guntur,month7,416047,242018
AP_Krishna,month1,24659,525
AP_Krishna,month2,54303,21465
AP_Krishna,month3,283926,24804
AP_Krishna,month4,135315,165587
AP_Krishna,month5,437740,45048
AP_Krishna,month6,375048,131110
AP_Krishna,month7,426204,164297
AP_Kurnool,month1,21404,507
AP_Kurnool,month2,35083,15934
AP_Kurnool,month3,236148,19672
AP_Kurnool,month4,97131,117769
AP_Kurnool,month5,261254,25655
AP_Kurnool,month6,284107,73875
AP_Kurnool,month7,285601,233824
AP_Prakasam,month1,21893,137
AP_Prakasam,month2,30836,11180
AP_Prakasam,month3,220193,23256
AP_Prakasam,month4,102931,107909
AP_Prakasam,month5,290500,53187
AP_Prakasam,month6,321230,62132
AP_Prakasam,month7,233076,253151
AP_S.P.S. Nellore,month1,32205,656
AP_S.P.S. Nellore,month2,45226,24268
AP_S.P.S. Nellore,month3,207080,33206
AP_S.P.S. Nellore,month4,108126,120839
AP_S.P.S. Nellore,month5,259575,22366
AP_S.P.S. Nellore,month6,260949,148451
AP_S.P.S. Nellore,month7,233747,175827
AP_Srikakulam,month1,25982,713
AP_Srikakulam,month2,35478,20245
AP_Srikakulam,month3,176442,17415
AP_Srikakulam,month4,79525,76444
AP_Srikakulam,month5,273267,17057
AP_Srikakulam,month6,263582,87996
AP_Srikakulam,month7,172133,116248
AP_Visakhapatnam,month1,28630,241
AP_Visakhapatnam,month2,58787,24302
AP_Visakhapatnam,month3,284050,32559
AP_Visakhapatnam,month4,140232,130425
AP_Visakhapatnam,month5,450754,45203
AP_Visakhapatnam,month6,453246,109245
AP_Visakhapatnam,month7,436047,274523
AP_Vizianagaram,month1,14857,342
AP_Vizianagaram,month2,25270,12580
AP_Vizianagaram,month3,161336,14796
AP_Vizianagaram,month4,64071,72086
AP_Vizianagaram,month5,215557,11778
AP_Vizianagaram,month6,223189,47235
AP_Vizianagaram,month7,209384,59877
AP_West Godavari,month1,20160,104
AP_West Godavari,month2,52221,17660
AP_West Godavari,month3,218124,34796
AP_West Godavari,month4,102489,132261
AP_West Godavari,month5,398417,32870
AP_West Godavari,month6,451595,55349
AP_West Godavari,month7,379143,155773
AP_Y.S.R. Kadapa,month1,15747,552
AP_Y.S.R. Kadapa,month2,40167,12332
AP_Y.S.R. Kadapa,month3,223756,22988
AP_Y.S.R. Kadapa,month4,91413,115042
AP_Y.S.R. Kadapa,month5,248515,31663
AP_Y.S.R. Kadapa,month6,274484,85325
AP_Y.S.R. Kadapa,month7,146294,125872
AR_Anjaw,month1,387,0
AR_Anjaw,month2,393,305
AR_Anjaw,month3,969,308
AR_Anjaw,month4,1323,628
AR_Anjaw,month5,2298,18
AR_Anjaw,month6,4370,334
AR_Anjaw,month7,1182,956
AR_Changlang,month1,968,0
AR_Changlang,month2,2424,840
AR_Changlang,month3,7470,1360
AR_Changlang,month4,8105,2060
AR_Changlang,month5,10769,374
AR_Changlang,month6,35250,4923
AR_Changlang,month7,10545,7151
AR_East Kameng,month1,260,0
AR_East Kameng,month2,714,278
AR_East Kameng,month3,2409,502
AR_East Kameng,month4,3231,1041
AR_East Kameng,month5,5132,38
AR_East Kameng,month6,5214,1392
AR_East Kameng,month7,3436,2901
AR_East Siang,month1,919,76
AR_East Siang,month2,1856,918
AR_East Siang,month3,8247,1535
AR_East Siang,month4,6512,5941
AR_East Siang,month5,5360,29
AR_East Siang,month6,25956,3016
AR_East Siang,month7,2450,4483
AR_Kamle,month1,168,0
AR_Kamle,month2,123,162
AR_Kamle,month3,512,117
AR_Kamle,month4,910,256
AR_Kamle,month5,888,2
AR_Kamle,month6,2143,269
AR_Kamle,month7,1452,694
AR_Kra Daadi,month1,205,0
AR_Kra Daadi,month2,178,241
AR_Kra Daadi,month3,773,60
AR_Kra Daadi,month4,674,416
AR_Kra Daadi,month5,1507,12
AR_Kra Daadi,month6,1749,182
AR_Kra Daadi,month7,746,764
AR_Kurung Kumey,month1,467,0
AR_Kurung Kumey,month2,348,305
AR_Kurung Kumey,month3,2000,217
AR_Kurung Kumey,month4,934,1415
AR_Kurung Kumey,month5,1015,12
AR_Kurung Kumey,month6,2270,350
AR_Kurung Kumey,month7,1540,538
AR_Lepa Rada,month1,602,0
AR_Lepa Rada,month2,1122,618
AR_Lepa Rada,month3,1936,576
AR_Lepa Rada,month4,1233,1319
AR_Lepa Rada,month5,1593,8
AR_Lepa Rada,month6,5398,1183
AR_Lepa Rada,month7,1072,1245
AR_Lohit,month1,534,0
AR_Lohit,month2,1379,396
AR_Lohit,month3,2075,619
AR_Lohit,month4,3159,981
AR_Lohit,month5,3867,42
AR_Lohit,month6,12351,1767
AR_Lohit,month7,4490,2841
AR_Longding,month1,396,61
AR_Longding,month2,1197,223
AR_Longding,month3,816,655
AR_Longding,month4,1771,613
AR_Longding,month5,3742,136
AR_Longding,month6,7626,370
AR_Longding,month7,2421,1207
AR_Lower Dibang Valley,month1,225,0
AR_Lower Dibang Valley,month2,1326,280
AR_Lower Dibang Valley,month3,3763,1000
AR_Lower Dibang Valley,month4,3609,1274
AR_Lower Dibang Valley,month5,3492,28
AR_Lower Dibang Valley,month6,13632,2974
AR_Lower Dibang Valley,month7,3557,2501
AR_Lower Siang,month1,179,0
AR_Lower Siang,month2,560,294
