District Id,Time Id,Dose 1,Dose 2
AN_Nicobars,Overall,22171,8242
AN_North and Middle Andaman,Overall,69920,30545
AN_South Andaman,Overall,149553,62488
AP_Anantapur,Overall,1477236,658804
AP_Chittoor,Overall,1689287,721419
AP_East Godavari,Overall,1954561,595188
AP_Guntur,Overall,1839661,646487
AP_Krishna,Overall,1828042,623537
AP_Kurnool,Overall,1330264,551669
AP_Prakasam,Overall,1270429,557100
AP_S.P.S. Nellore,Overall,1193962,540943
AP_Srikakulam,Overall,1052101,349623
AP_Visakhapatnam,Overall,2095515,693697
AP_Vizianagaram,Overall,986048,239343
AP_West Godavari,Overall,1746482,478256
AP_Y.S.R. Kadapa,Overall,1073313,424509
AR_Anjaw,Overall,11046,2711
AR_Changlang,Overall,76928,18678
AR_East Kameng,Overall,21076,6965
AR_East Siang,Overall,51532,16687
AR_Kamle,Overall,6329,1701
AR_Kra Daadi,Overall,6008,2085
AR_Kurung Kumey,Overall,8622,3159
AR_Lepa Rada,Overall,13011,5071
AR_Lohit,Overall,28423,7096
AR_Longding,Overall,18115,3597
AR_Lower Dibang Valley,Overall,30311,8464
AR_Lower Siang,Overall,15872,4690
AR_Lower Subansiri,Overall,25144,8680
AR_Namsai,Overall,58436,13344
AR_Pakke Kessang,Overall,7753,3172
AR_Papum Pare,Overall,96770,30356
AR_Papum Pare,Overall,96770,30356
AR_Shi Yomi,Overall,6768,2434
AR_Siang,Overall,13977,4499
AR_Tawang,Overall,28085,9949
AR_Tirap,Overall,29563,6022
AR_Upper Dibang Valley,Overall,3927,1276
AR_Upper Siang,Overall,17596,6716
AR_Upper Subansiri,Overall,23449,8116
AR_West Kameng,Overall,51358,14890
AR_West Siang,Overall,32770,12612
AS_Baksa,Overall,318585,47790
AS_Barpeta,Overall,587993,149975
AS_Biswanath,Overall,366105,64450
AS_Bongaigaon,Overall,327846,64430
AS_Cachar,Overall,566719,110890
AS_Charaideo,Overall,224706,35396
AS_Chirang,Overall,178752,36200
AS_Darrang,Overall,340523,66753
AS_Dhemaji,Overall,324723,67419
AS_Dhubri,Overall,397450,79982
AS_Dibrugarh,Overall,624407,161484
AS_Dima Hasao,Overall,85596,23913
AS_Goalpara,Overall,347542,61357
AS_Golaghat,Overall,539445,99431
AS_Hailakandi,Overall,285001,50434
AS_Hojai,Overall,371205,76654
AS_Jorhat,Overall,579828,109225
AS_Kamrup,Overall,688899,166525
AS_Kamrup Metropolitan,Overall,1063439,380418
AS_Karbi Anglong,Overall,165151,41589
AS_Karimganj,Overall,335691,69485
AS_Kokrajhar,Overall,304779,57497
AS_Lakhimpur,Overall,501228,90131
AS_Majuli,Overall,109755,31336
AS_Morigaon,Overall,389093,62418
AS_Nagaon,Overall,692092,143241
AS_Nalbari,Overall,315913,59104
AS_Sivasagar,Overall,387768,74861
AS_Sonitpur,Overall,623579,149943
AS_South Salmara Mankachar,Overall,170958,10316
AS_Tinsukia,Overall,463417,89629
AS_Udalguri,Overall,266435,49855
AS_West Karbi Anglong,Overall,82883,14839
BR_Araria,Overall,627190,116612
BR_Arwal,Overall,240980,31885
BR_Aurangabad,Overall,596250,79136
BR_Banka,Overall,541851,85656
BR_Begusarai,Overall,763584,123869
BR_Bhagalpur,Overall,946407,187960
BR_Bhojpur,Overall,658278,110785
BR_Buxar,Overall,449222,85869
BR_Darbhanga,Overall,1070803,204950
BR_East Champaran,Overall,1331375,237766
BR_Gaya,Overall,1042097,217191
BR_Gopalganj,Overall,587547,99523
BR_Jamui,Overall,422884,65026
BR_Jehanabad,Overall,307876,59080
BR_Kaimur,Overall,371287,50778
BR_Katihar,Overall,687298,99904
BR_Khagaria,Overall,401010,61994
BR_Kishanganj,Overall,375700,56019
BR_Lakhisarai,Overall,240414,37178
BR_Madhepura,Overall,446920,77698
BR_Madhubani,Overall,1079682,211105
BR_Munger,Overall,408513,70661
BR_Muzaffarpur,Overall,1161419,214418
BR_Nalanda,Overall,820353,183406
BR_Nawada,Overall,528396,90213
BR_Patna,Overall,2629965,944051
BR_Purnia,Overall,903441,188827
BR_Rohtas,Overall,731930,125440
BR_Saharsa,Overall,463019,86225
BR_Samastipur,Overall,1057057,196391
BR_Saran,Overall,1117034,230723
BR_Sheikhpura,Overall,177583,32394
BR_Sheohar,Overall,184640,41682
BR_Sitamarhi,Overall,790760,132829
BR_Siwan,Overall,983027,195738
BR_Supaul,Overall,497149,92111
BR_Vaishali,Overall,868702,150618
BR_West Champaran,Overall,902663,113764
CH_Chandigarh,Overall,777153,276138
CT_Balod,Overall,368219,119451
CT_Baloda Bazar,Overall,360304,91879
CT_Balrampur,Overall,197111,41792
CT_Bametara,Overall,182262,47074
CT_Bastar,Overall,275967,77870
CT_Bijapur,Overall,80396,29283
CT_Bilaspur,Overall,618683,223205
CT_Dakshin Bastar Dantewada,Overall,114483,38175
CT_Dhamtari,Overall,329181,101577
CT_Durg,Overall,655878,300373
CT_Gariaband,Overall,171657,41905
CT_Gaurela Pendra Marwahi,Overall,113662,25653
CT_Janjgir Champa,Overall,460386,139186
CT_Jashpur,Overall,271650,71324
CT_Kabeerdham,Overall,260136,65536
CT_Kondagaon,Overall,174813,34636
CT_Korba,Overall,426795,131188
CT_Koriya,Overall,186347,51228
CT_Mahasamund,Overall,472979,150938
CT_Mungeli,Overall,197440,52552
CT_Narayanpur,Overall,35483,12329
CT_Raigarh,Overall,920970,285199
CT_Raipur,Overall,1193417,441109
CT_Rajnandgaon,Overall,705799,184009
CT_Sukma,Overall,107466,35238
CT_Surajpur,Overall,231296,51570
CT_Surguja,Overall,339635,107390
CT_Uttar Bastar Kanker,Overall,249095,74285
DL_Central Delhi,Overall,885767,328492
DL_East Delhi,Overall,695552,263718
DL_New Delhi,Overall,693194,341822
DL_North Delhi,Overall,726501,245336
DL_North East Delhi,Overall,565467,177439
DL_North West Delhi,Overall,1059214,416354
DL_Shahdara,Overall,618591,246244
DL_South Delhi,Overall,945159,369212
DL_South East Delhi,Overall,852274,337220
DL_South West Delhi,Overall,985947,397916
DL_West Delhi,Overall,915532,407934
DN_Dadra and Nagar Haveli,Overall,357290,51766
DN_Daman,Overall,213426,45139
DN_Diu,Overall,38061,16763
GA_North Goa,Overall,543039,176475
GA_South Goa,Overall,598983,194815
GJ_Ahmedabad,Overall,963905,233952
GJ_Ahmedabad,Overall,963905,233952
GJ_Amreli,Overall,681117,235123
GJ_Anand,Overall,1119905,328157
GJ_Aravalli,Overall,527873,197111
GJ_Banaskantha,Overall,1557382,582876
GJ_Bharuch,Overall,896223,241123
GJ_Bhavnagar,Overall,723459,220135
GJ_Bhavnagar,Overall,723459,220135
GJ_Botad,Overall,320257,67128
GJ_Chhota Udaipur,Overall,469124,166351
GJ_Dahod,Overall,855899,371410
GJ_Dang,Overall,74967,18762
GJ_Devbhumi Dwarka,Overall,425558,139395
GJ_Gandhinagar,Overall,641025,172304
GJ_Gandhinagar,Overall,641025,172304
GJ_Gir Somnath,Overall,607999,155261
GJ_Jamnagar,Overall,483928,157787
GJ_Jamnagar,Overall,483928,157787
GJ_Junagadh,Overall,646124,209614
GJ_Junagadh,Overall,646124,209614
GJ_Kheda,Overall,993708,302419
GJ_Kutch,Overall,1023180,288473
GJ_Mahisagar,Overall,476470,249605
GJ_Mehsana,Overall,1014998,386217
GJ_Morbi,Overall,468070,111442
GJ_Narmada,Overall,315305,135785
GJ_Navsari,Overall,703184,240507
GJ_Panchmahal,Overall,748478,249714
GJ_Patan,Overall,624009,200051
GJ_Porbandar,Overall,349454,133882
GJ_Rajkot,Overall,860503,228779
GJ_Rajkot,Overall,860503,228779
GJ_Sabarkantha,Overall,755524,239645
GJ_Surat,Overall,820813,199051
GJ_Surat,Overall,820813,199051
