District,Time Id,Dose 1,Dose 2
AN_Nicobars,week1,206,0
AN_Nicobars,week2,78,0
AN_Nicobars,week3,59,0
AN_Nicobars,week4,17,0
AN_Nicobars,week5,36,40
AN_Nicobars,week6,171,204
AN_Nicobars,week7,81,6
AN_Nicobars,week8,99,54
AN_Nicobars,week9,395,7
AN_Nicobars,week10,626,85
AN_Nicobars,week11,457,14
AN_Nicobars,week12,1682,85
AN_Nicobars,week13,2604,48
AN_Nicobars,week14,1292,123
AN_Nicobars,week15,356,227
AN_Nicobars,week16,161,751
AN_Nicobars,week17,39,261
AN_Nicobars,week18,119,0
AN_Nicobars,week19,161,0
AN_Nicobars,week20,10,1
AN_Nicobars,week21,70,0
AN_Nicobars,week22,1193,1
AN_Nicobars,week23,3719,51
AN_Nicobars,week24,2059,1509
AN_Nicobars,week25,433,2375
AN_Nicobars,week26,2646,1131
AN_Nicobars,week27,1636,653
AN_Nicobars,week28,1048,286
AN_Nicobars,week29,465,85
AN_Nicobars,week30,163,113
AN_Nicobars,week31,49,119
AN_North and Middle Andaman,week1,390,0
AN_North and Middle Andaman,week2,599,0
AN_North and Middle Andaman,week3,123,0
AN_North and Middle Andaman,week4,1,0
AN_North and Middle Andaman,week5,43,367
AN_North and Middle Andaman,week6,280,483
AN_North and Middle Andaman,week7,391,42
AN_North and Middle Andaman,week8,190,50
AN_North and Middle Andaman,week9,499,33
AN_North and Middle Andaman,week10,329,124
AN_North and Middle Andaman,week11,982,72
AN_North and Middle Andaman,week12,3277,148
AN_North and Middle Andaman,week13,15367,318
AN_North and Middle Andaman,week14,5847,330
AN_North and Middle Andaman,week15,1196,380
AN_North and Middle Andaman,week16,276,510
AN_North and Middle Andaman,week17,260,411
AN_North and Middle Andaman,week18,935,12
AN_North and Middle Andaman,week19,1089,2
AN_North and Middle Andaman,week20,357,7
AN_North and Middle Andaman,week21,901,2
AN_North and Middle Andaman,week22,1329,1
AN_North and Middle Andaman,week23,5036,152
AN_North and Middle Andaman,week24,5541,2730
AN_North and Middle Andaman,week25,1452,13236
AN_North and Middle Andaman,week26,4895,6202
AN_North and Middle Andaman,week27,5142,1787
AN_North and Middle Andaman,week28,6386,823
AN_North and Middle Andaman,week29,279,360
AN_North and Middle Andaman,week30,4651,699
AN_North and Middle Andaman,week31,1158,886
AN_South Andaman,week1,324,0
AN_South Andaman,week2,463,0
AN_South Andaman,week3,538,0
AN_South Andaman,week4,242,0
AN_South Andaman,week5,1588,539
AN_South Andaman,week6,871,327
AN_South Andaman,week7,1787,202
AN_South Andaman,week8,2816,426
AN_South Andaman,week9,962,831
AN_South Andaman,week10,1001,1260
AN_South Andaman,week11,1354,57
AN_South Andaman,week12,6906,114
AN_South Andaman,week13,19617,632
AN_South Andaman,week14,12206,2276
AN_South Andaman,week15,5654,1184
AN_South Andaman,week16,3200,1180
AN_South Andaman,week17,2120,929
AN_South Andaman,week18,2493,14
AN_South Andaman,week19,3462,8
AN_South Andaman,week20,3287,49
