State,Time Id,Dose 1,Dose 2
Andaman and Nicobar Islands,week1,920,0
Andaman and Nicobar Islands,week2,1140,0
Andaman and Nicobar Islands,week3,720,0
Andaman and Nicobar Islands,week4,260,0
Andaman and Nicobar Islands,week5,1667,946
Andaman and Nicobar Islands,week6,1322,1014
Andaman and Nicobar Islands,week7,2259,250
Andaman and Nicobar Islands,week8,611,529
Andaman and Nicobar Islands,week9,4953,860
Andaman and Nicobar Islands,week10,2440,1465
Andaman and Nicobar Islands,week11,1706,159
Andaman and Nicobar Islands,week12,11865,347
Andaman and Nicobar Islands,week13,37588,998
Andaman and Nicobar Islands,week14,19345,2729
Andaman and Nicobar Islands,week15,7206,1791
Andaman and Nicobar Islands,week16,3637,2441
Andaman and Nicobar Islands,week17,2419,1601
Andaman and Nicobar Islands,week18,3547,26
Andaman and Nicobar Islands,week19,4712,10
Andaman and Nicobar Islands,week20,3654,57
Andaman and Nicobar Islands,week21,3737,129
Andaman and Nicobar Islands,week22,5493,154
Andaman and Nicobar Islands,week23,22128,795
Andaman and Nicobar Islands,week24,16001,8472
Andaman and Nicobar Islands,week25,6766,31714
Andaman and Nicobar Islands,week26,14577,20711
Andaman and Nicobar Islands,week27,12045,9279
Andaman and Nicobar Islands,week28,14701,5073
Andaman and Nicobar Islands,week29,7602,2699
Andaman and Nicobar Islands,week30,17688,3038
Andaman and Nicobar Islands,week31,5785,2868
Andhra Pradesh,week1,70380,0
Andhra Pradesh,week2,63191,0
Andhra Pradesh,week3,112367,0
Andhra Pradesh,week4,67569,6233
Andhra Pradesh,week5,100311,81237
Andhra Pradesh,week6,122137,50342
Andhra Pradesh,week7,117103,45307
Andhra Pradesh,week8,-9201,54136
Andhra Pradesh,week9,737945,61944
Andhra Pradesh,week10,696444,73665
Andhra Pradesh,week11,488568,47159
Andhra Pradesh,week12,714537,101863
Andhra Pradesh,week13,728589,76034
Andhra Pradesh,week14,533378,528629
Andhra Pradesh,week15,631642,392788
Andhra Pradesh,week16,261632,454871
Andhra Pradesh,week17,48122,193005
Andhra Pradesh,week18,79646,180783
Andhra Pradesh,week19,1710375,133539
Andhra Pradesh,week20,956613,90939
Andhra Pradesh,week21,1025779,47528
Andhra Pradesh,week22,593828,32276
Andhra Pradesh,week23,2069992,254321
Andhra Pradesh,week24,1251921,361815
Andhra Pradesh,week25,299752,204683
Andhra Pradesh,week26,1035127,644884
Andhra Pradesh,week27,402582,537279
Andhra Pradesh,week28,1186472,917332
Andhra Pradesh,week29,1380322,567504
Andhra Pradesh,week30,1039018,345116
Andhra Pradesh,week31,881569,493572
Arunachal Pradesh,week1,2446,0
Arunachal Pradesh,week2,4045,0
Arunachal Pradesh,week3,2797,0
Arunachal Pradesh,week4,3963,456
Arunachal Pradesh,week5,6767,3764
Arunachal Pradesh,week6,5885,2742
Arunachal Pradesh,week7,11346,2690
Arunachal Pradesh,week8,-1654,2896
Arunachal Pradesh,week9,20324,3527
Arunachal Pradesh,week10,11061,3106
Arunachal Pradesh,week11,11134,3439
Arunachal Pradesh,week12,23642,6926
Arunachal Pradesh,week13,32191,7263
Arunachal Pradesh,week14,28718,9706
Arunachal Pradesh,week15,27245,9099
Arunachal Pradesh,week16,17836,14280
Arunachal Pradesh,week17,11013,7987
Arunachal Pradesh,week18,26396,191
Arunachal Pradesh,week19,9292,198
Arunachal Pradesh,week20,39729,330
Arunachal Pradesh,week21,37188,429
Arunachal Pradesh,week22,67181,593
Arunachal Pradesh,week23,71623,1717
Arunachal Pradesh,week24,64082,8122
Arunachal Pradesh,week25,55752,22204
Arunachal Pradesh,week26,37351,24789
Arunachal Pradesh,week27,25971,22686
Arunachal Pradesh,week28,17741,15395
Arunachal Pradesh,week29,16958,8849
Arunachal Pradesh,week30,12954,16353
Arunachal Pradesh,week31,8556,11533
Assam,week1,4061,0
Assam,week2,26512,0
Assam,week3,47925,0
Assam,week4,43552,2006
Assam,week5,31279,8584
Assam,week6,42047,17168
Assam,week7,148225,24810
Assam,week8,68820,31636
Assam,week9,153266,24711
Assam,week10,335260,33819
Assam,week11,129626,30669
Assam,week12,205557,76554
Assam,week13,59332,40762
Assam,week14,297490,122152
Assam,week15,427578,140664
Assam,week16,325788,103004
Assam,week17,285358,74338
Assam,week18,306857,46646
Assam,week19,308167,49656
Assam,week20,220749,20593
Assam,week21,374072,69556
Assam,week22,427672,138079
Assam,week23,1389486,127319
Assam,week24,643862,111854
Assam,week25,263231,50524
Assam,week26,671272,181569
Assam,week27,720674,184910
Assam,week28,751281,217665
Assam,week29,1480218,220949
Assam,week30,1240836,292703
Assam,week31,1348111,284706
Bihar,week1,38409,0
Bihar,week2,67342,0
Bihar,week3,224576,0
Bihar,week4,121379,55
Bihar,week5,67654,38347
Bihar,week6,39961,39826
Bihar,week7,84363,106740
Bihar,week8,220665,105798
Bihar,week9,638564,74683
Bihar,week10,647512,39773
Bihar,week11,612811,27356
Bihar,week12,1190747,104666
Bihar,week13,941202,145577
Bihar,week14,585058,199000
Bihar,week15,448482,237224
Bihar,week16,375673,359313
Bihar,week17,875670,211098
Bihar,week18,612349,40111
Bihar,week19,638997,43592
Bihar,week20,652055,65897
Bihar,week21,948946,67327
Bihar,week22,1439227,131631
Bihar,week23,2036374,137168
Bihar,week24,1215113,220262
Bihar,week25,1158201,278383
Bihar,week26,1671900,436012
Bihar,week27,1098865,293284
Bihar,week28,1899663,487583
Bihar,week29,2393761,508959
Bihar,week30,2221859,459602
Bihar,week31,1880275,433834
Chandigarh,week1,790,0
Chandigarh,week2,1416,0
Chandigarh,week3,1652,0
Chandigarh,week4,2851,117
Chandigarh,week5,3670,629
Chandigarh,week6,6548,894
Chandigarh,week7,10599,1513
Chandigarh,week8,7330,2513
Chandigarh,week9,20130,2993
Chandigarh,week10,8182,2324
Chandigarh,week11,11360,2326
Chandigarh,week12,22216,4955
Chandigarh,week13,20990,7256
Chandigarh,week14,20260,11207
Chandigarh,week15,25605,12890
Chandigarh,week16,23846,13379
Chandigarh,week17,23717,10676
Chandigarh,week18,26558,950
Chandigarh,week19,27027,232
Chandigarh,week20,38028,244
Chandigarh,week21,22874,633
Chandigarh,week22,47250,1427
Chandigarh,week23,44405,4400
Chandigarh,week24,39330,13394
Chandigarh,week25,33578,20091
Chandigarh,week26,48697,22202
Chandigarh,week27,38004,30968
Chandigarh,week28,45069,26949
Chandigarh,week29,64627,23069
Chandigarh,week30,46970,26120
Chandigarh,week31,38558,27767
Chhattisgarh,week1,12185,0
Chhattisgarh,week2,45261,0
Chhattisgarh,week3,96069,0
Chhattisgarh,week4,94792,862
Chhattisgarh,week5,92923,20043
Chhattisgarh,week6,35488,30850
Chhattisgarh,week7,135465,68637
Chhattisgarh,week8,53364,71096
Chhattisgarh,week9,549455,75649
Chhattisgarh,week10,353771,37279
Chhattisgarh,week11,838228,33977
Chhattisgarh,week12,1414409,68006
Chhattisgarh,week13,655297,87068
Chhattisgarh,week14,344583,109453
Chhattisgarh,week15,154731,141441
Chhattisgarh,week16,82336,139938
Chhattisgarh,week17,100446,195163
Chhattisgarh,week18,34036,11323
Chhattisgarh,week19,34329,11337
Chhattisgarh,week20,24237,28557
Chhattisgarh,week21,17046,26417
Chhattisgarh,week22,21184,28498
Chhattisgarh,week23,1022250,204703
Chhattisgarh,week24,955539,265779
Chhattisgarh,week25,324582,183110
Chhattisgarh,week26,397105,148307
Chhattisgarh,week27,373348,167120
Chhattisgarh,week28,370345,166038
Chhattisgarh,week29,490240,242165
Chhattisgarh,week30,260467,213065
Chhattisgarh,week31,283941,217789
Dadra and Nagar Haveli and Daman and Diu,week1,280,0
Dadra and Nagar Haveli and Daman and Diu,week2,572,0
Dadra and Nagar Haveli and Daman and Diu,week3,1403,0
Dadra and Nagar Haveli and Daman and Diu,week4,1805,71
Dadra and Nagar Haveli and Daman and Diu,week5,2316,394
Dadra and Nagar Haveli and Daman and Diu,week6,928,209
Dadra and Nagar Haveli and Daman and Diu,week7,3942,1210
Dadra and Nagar Haveli and Daman and Diu,week8,1099,1366
Dadra and Nagar Haveli and Daman and Diu,week9,6825,1362
Dadra and Nagar Haveli and Daman and Diu,week10,3968,697
Dadra and Nagar Haveli and Daman and Diu,week11,14357,1413
Dadra and Nagar Haveli and Daman and Diu,week12,24003,2303
Dadra and Nagar Haveli and Daman and Diu,week13,10867,2289
Dadra and Nagar Haveli and Daman and Diu,week14,4540,2231
